CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PI01424-2016;INSTITUTO DE CIENCIAS BIOLOGICAS;DIVERSIDADE DE DIPTERA (HEXAPODA: INSECTA) NO PARQUE NACIONAL DE EMAS, GOIÁS;Ciências Biológicas - Zoologia - Taxonomia dos Grupos Recentes;Com Programa de Pós-graduação da UFG;sim;BRENNDA MENEZES DA SILVA (DISCENTE - Colaborador), GIOVANA DE PINA SIQUEIRA AFIUNE (DISCENTE - Colaborador), LIANDRA DE OLIVEIRA BARRETO (DISCENTE - Colaborador), PEDRO ALMEIDA REIS (DISCENTE - Colaborador), SARAH SIQUEIRA DE OLIVEIRA (DOCENTE - Coordenador), THAYANE DE SOUZA BOTELHO SOARES (DISCENTE - Colaborador), WELINTON RIBAMAR LOPES (DOCENTE - Vice-coodernador);01/08/2016 a 31/12/2030
PI0724-2016;INSTITUTO DE CIENCIAS BIOLOGICAS;Estabelecimento de protocolos de micropropagação de clones superiores de três espécies de bambuzeiro: Dendrocalamus asper (Schultes f.) Backer ex Heyne, Dendrocalamus latiflorus Munro e Guadua magna Londoño & Filg.    Projeto Principal: Estruturação de uma Rede de Pesquisa e Desenvolvimento da Cultura do Bambu no Estado de Goiás - MCTI/AÇÃO TRANSVERSAL/CNPq - Processo: 458300/2013-6 ;Ciências Agrárias - Agronomia - Fitotecnia - Melhoramento Vegetal;Sem Vínculo (Projeto Isolado);sim;DALVA GRACIANO RIBEIRO (DOCENTE - Colaborador), JOSE DANIEL GONCALVES VIEIRA (DOCENTE - Colaborador), LARISSA LEANDRO PIRES (DOCENTE - Colaborador), LEILA GARCES DE ARAUJO (DOCENTE - Colaborador), PAULO ROBERTO FARIA (SERVIDOR - Colaborador), RAFAEL DE OLIVEIRA MEDEIROS (DISCENTE - Colaborador), SERGIO TADEU SIBOV (DOCENTE - Coordenador);01/07/2016 a 30/06/2019
PV053-2016;PRÓ REITORIA DE PESQUISA E INOVAÇÃO;Fatores Preditores de infecção pelo vírus da hepatite C em populações vulneráveis não usuários de drogas injetáveis;Ciências da Saúde - Saúde Coletiva - Epidemiologia;Com Grupo de Pesquisa;sim;KARLLA ANTONIETA AMORIM CAETANO (DOCENTE - Colaborador), MARCOS ANDRE DE MATOS (DOCENTE - Colaborador), MEGMAR APARECIDA DOS SANTOS CARNEIRO (DOCENTE - Colaborador), PAULIE MARCELLY RIBEIRO DOS SANTOS CARVALHO (DISCENTE - Colaborador), REGINA MARIA BRINGEL MARTINS (DOCENTE - Colaborador), SHEILA ARAUJO TELES (DOCENTE - Coordenador);04/01/2016 a 31/12/2017
PV093-2016;UAE - DE ENGENHARIA - CATALÃO;PROPOSTA DE ABORDAGEM INTEGRADA PARA ALCANCE DE UNIVERSIDADES SUSTENTÁVEIS: INCORPORAÇÃO DE CONCEITOS E ATIVIDADES DE GREEN IT;Engenharias - Engenharia de Produção - Pesquisa Operacional;Com Grupo de Pesquisa;sim;CAMILA FERREIRA SILVA (DISCENTE - Colaborador), CARULINA MARQUES (DISCENTE - Colaborador), DALTON MATSUO TAVARES (DOCENTE - Vice-coodernador), DAVI COELHO DE PAULO (DISCENTE - Colaborador), EDVALDO CAPINGOTE SERAFIM DA SILVA (DISCENTE - Colaborador), GLAUCO AUGUSTO DE PAULA CAURIN (EXTERNO - Colaborador), JOSÉ MARTINS JR (EXTERNO - Colaborador), JOSE WALDO MARTINEZ ESPINOSA (DOCENTE - Colaborador), LAYS CAPINGOTE SERAFIM DA SILVA (DISCENTE - Colaborador), LUCAS MESQUITA BORGES (DISCENTE - Colaborador), MARCOS AURELIO BATISTA (DOCENTE - Colaborador), NAIARA FAIAD SEBBA CALIFE GARCIA (DOCENTE - Colaborador), NATALIA BLEDOFF TEIXEIRA (DISCENTE - Colaborador), NELSON DIAS DA COSTA JUNIOR (DISCENTE - Colaborador), RAFAELLA DE CASTRO PEREIRA (DISCENTE - Colaborador), SERGIO FRANCISCO DA SILVA (DOCENTE - Colaborador), SILVIA PARREIRA TANNUS (DOCENTE - Colaborador), STELLA JACYSZYN BACHEGA (DOCENTE - Coordenador), WISLEY KILDER DA SILVA NOGUEIRA (DISCENTE - Colaborador);09/12/2016 a 02/09/2021
PI0996-2016;FACULDADE DE FARMACIA;Desenvolvimento e Caracterização de produtos repelentes de insetos;Ciências da Saúde - Farmácia - Farmacotecnia;Com Programa de Pós-graduação da UFG;sim;BRUNO DOS SANTOS SOUZA (DISCENTE - Colaborador), JUSCELINO RODRIGUES FILHO (EXTERNO - Colaborador), LIGIA MARQUEZ ANDRADE (EXTERNO - Colaborador), PRISCILA BIANCA RODRIGUES DA ROCHA GONÇALVES (DISCENTE - Colaborador), RICARDO NEVES MARRETO (DOCENTE - Vice-coodernador), STEPHANIA FLEURY TAVEIRA (DOCENTE - Coordenador), WOLF CHRISTIAN LUZ (DOCENTE - Colaborador);04/04/2016 a 02/08/2021
PI0349-2016;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;TRANSFERÊNCIA DE RENDA DIRETA E ECONOMIA URBANA: ANÁLISE DOS IMPACTOS DA APOSENTADORIA RURAL E DO PROGRAMA BOLSA FAMÍLIA NOS MUNICÍPIOS GOIANOS;Ciências Humanas - Geografia, Ciências Humanas - Geografia - Geografia Humana - Geografia Urbana, Ciências Humanas - Geografia - Geografia Humana - Geografia Política;Sem Vínculo (Projeto Isolado);sim;ADRIANO RODRIGUES DE OLIVEIRA (DOCENTE - Colaborador), BRUNO CARNEIRO DE OLIVEIRA (DISCENTE - Colaborador), DENIS CASTILHO (DOCENTE - Colaborador), DIEGO PINHEIRO ALENCAR (DISCENTE - Colaborador), LEANDRO OLIVEIRA DE LIMA (DOCENTE - Colaborador), RENATO AUGUSTO SOUZA GOMES (DISCENTE - Colaborador), TADEU PEREIRA ALENCAR ARRAIS (DOCENTE - Coordenador);16/02/2016 a 16/12/2020
PV01740-2016;FACULDADE DE EDUCAÇÃO FISICA E DANÇA;OLHAR PARA A DANÇA  Constituição de acervos de histórias da dança cênica em Goiânia - 1970 a 2000.;Lingüística, Letras e Artes - Artes - Dança;Com Grupo de Pesquisa;sim;DANILO ASSIS (EXTERNO - Colaborador), LUCIANA GOMES RIBEIRO (EXTERNO - Vice-coodernador), LUCIANA GOMES RIBEIRO (EXTERNO - Colaborador), VALERIA MARIA CHAVES DE FIGUEIREDO (DOCENTE - Coordenador), VICTOR LEAL PONTES (EXTERNO - Colaborador);19/12/2016 a 19/12/2019
PI02494-2016;INSTITUTO DE QUIMICA;Estudo do perfil químico e biológico de plantas do Cerrado utilizadas na medicina popular pela Comunidade Coqueiros ;Ciências Exatas e da Terra - Química - Química Orgânica - Química dos Produtos Naturais;Com Programa de Pós-graduação da UFG;sim;ANA MARÍA TORRES (EXTERNO - Colaborador), ANA PAULA TEREZAN (EXTERNO - Colaborador), BONIEK GONTIJO VAZ (DOCENTE - Colaborador), BRYNA TAMILLA ALVES FALCAO GAMA (DISCENTE - Colaborador), CARLOS HENRIQUE GOMES MARTINS (EXTERNO - Colaborador), CECILIA MARIA ALVES DE OLIVEIRA (DOCENTE - Colaborador), EURIDES FRANCISCO TEIXEIRA  JÚNIOR (DISCENTE - Colaborador), GABRIELA ANA LETICIA RICCIARDI (EXTERNO - Colaborador), GERSO PEREIRA ALEXANDRE (DISCENTE - Colaborador), GUSTAVO ODEONE DA SILVA CUNHA (DISCENTE - Colaborador), JORGE LUIZ SOUZA SIMÃO (DISCENTE - Colaborador), JULIANA CRISTINA MIRANDA CANDIDO (DISCENTE - Colaborador), LUCIANA REIS FONTINELLE SOUTO (EXTERNO - Vice-coodernador), LUCIANO MORAIS LIAO (DOCENTE - Colaborador), LUCILIA KATO (DOCENTE - Colaborador), LUIZA VIEIRA DA CRUZ (DISCENTE - Colaborador), MARCOS PEREIRA MARTINS (DISCENTE - Colaborador), MARIA IVANIR DE SOUSA CARDOSO SILVA (DISCENTE - Colaborador), NUBIA ALVES MARIANO TEIXEIRA PIRES GOMIDES (SERVIDOR - Colaborador), ROSY IARA MACIEL DE AZAMBUJA RIBEIRO (EXTERNO - Colaborador), STEPHANIE VILELA PRADO (DISCENTE - Colaborador), VANESSA GISELE PASQUALOTTO SEVERINO (DOCENTE - Coordenador), YASMINE FERNANDES OLIVEIRA (DISCENTE - Colaborador);01/08/2016 a 01/08/2020
PI01012-2016;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;AS POTENCIALIDADES DA GEOTECNOLOGIA NA FORMAÇÃO DO PROFESSOR DE GEOGRAFIA E NO DESENVOLVIMENTO DO PENSAMENTO ESPACIAL SOBRE A REGIÃO METROPOLITANA DE GOIÂNIA;Ciências Humanas - Geografia - Geografia Humana - Geografia Urbana;Sem Vínculo (Projeto Isolado);sim;DENIS RICHTER (DOCENTE - Colaborador), ELAINE BARBOSA DA SILVA (DOCENTE - Colaborador), FERNANDA LEÃO INÁCIO ALVES (DISCENTE - Colaborador), HUGO GABRIEL DA SILVA MOTA (EXTERNO - Colaborador), IVANILTON JOSE DE OLIVEIRA (DOCENTE - Colaborador), LANA DE SOUZA CAVALCANTI (DOCENTE - Colaborador), LARISSA BARBARA BORGES DRUMOND (SERVIDOR - Colaborador), LULINE SILVA CARVALHO (DISCENTE - Colaborador), MAGNO EMERSON BARBOSA DA SILVA (DISCENTE - Colaborador), MATEUS ANDRADE DE OLIVEIRA (DISCENTE - Colaborador), ROBSON ALVES DOS SANTOS (DISCENTE - Colaborador), VANILTON CAMILO DE SOUZA (DOCENTE - Coordenador);01/02/2016 a 20/12/2019
PI01163-2016;ESCOLA DE VETERINARIA E ZOOTECNIA;EXPRESSÃO GÊNICA E IMUNOMARCAÇÃO DOS RECEPTORES DE EGF (HER1 E HER2) NO CARCINOMA DE CÉLULAS ESCAMOSAS CUTÂNEO CANINO;Ciências Agrárias - Medicina Veterinária - Patologia Animal - Anatomia Patologia Animal;Com Programa de Pós-graduação da UFG;sim;ANA PAULA IGLESIAS SANTIN (DOCENTE - Colaborador), ERIC SAYMOM ANDRADE BRITO (DISCENTE - Colaborador), EUGENIO GONCALVES DE ARAUJO (DOCENTE - Colaborador), ISABELLA CRISTINA CASTRO RODRIGUES ROSA (DISCENTE - Colaborador), LETICIA MIRELLY DE OLIVEIRA SILVA (DISCENTE - Colaborador), PAULA LIMA MAGALHÃES (DISCENTE - Colaborador), VERIDIANA MARIA BRIANEZI DIGNANI DE MOURA (DOCENTE - Coordenador);01/01/2016 a 31/12/2018
PI03285-2016;ESCOLA DE VETERINARIA E ZOOTECNIA;NITRATO COMO ESTRATÉGIA DE MITIGAÇÃO DE GASES DE EFEITO ESTUFA PARA NOVILHOS DE CORTE SUPLEMENTADOS EM PASTEJO;Ciências Agrárias - Zootecnia - Nutrição e Alimentação Animal - Avaliação de Alimentos para Animais;Tipo de vínculo desconhecido;sim;CIBELLE BORGES FIGUEIREDO (DISCENTE - Vice-coodernador), GUILHERME FELIPE BERTI (DISCENTE - Vice-coodernador), HIGOR PATRICK SOUSA LOPES ROCHA (DISCENTE - Colaborador), JULIANO JOSE DE RESENDE FERNANDES (DOCENTE - Vice-coodernador), MAURICIA BRANDAO DA SILVA (DOCENTE - Colaborador), MIRON DE PAIVA MENEZES (SERVIDOR - Colaborador), VICTOR REZENDE MOREIRA COUTO (DOCENTE - Coordenador);10/11/2016 a 01/03/2021
PI0550-2016;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;ASPECTOS CLÍNICO-EPIDEMIOLÓGICO E GENÉTICO DA TRIPANOSSOMOSE BOVINA POR Trypanosoma vivax NO ESTADO DE GOIÁS;Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva - Doenças Parasitárias de Animais;Tipo de vínculo desconhecido;sim;BARBARA ROSA PESSOA (DISCENTE - Colaborador), EDUARDO JOSE DA COSTA NETO (DISCENTE - Colaborador), HARIYE VICTÓRIA IUASSE (DISCENTE - Colaborador), JULIANA GONCALVES DE SOUZA (DISCENTE - Colaborador), KAMILLA MACHADO PIRES (DISCENTE - Colaborador), LUCIANA MAFFINI HELLER (DISCENTE - Colaborador), LUIZ FELLIPE MONTEIRO COUTO (DISCENTE - Colaborador), RUBENS DIAS DE MELO JÚNIOR (DISCENTE - Colaborador), THIAGO SOUZA AZEREDO BASTOS (DISCENTE - Colaborador), WELBER DANIEL ZANETTI LOPES (DOCENTE - Coordenador), WESLEN FABRICIO PIRES TEIXEIRA (DOCENTE - Colaborador);11/01/2016 a 31/12/2019
PI0640-2016;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Aspectos de virulência de Leptolegnia sp. coletado no Centro-Oeste em Aedes aegypti;Ciências Biológicas - Microbiologia - Microbiologia Aplicada, Ciências Biológicas - Parasitologia - Entomologia e Malacologia de Parasitos e Vetores;Com Programa de Pós-graduação da UFG;sim;ALAINE MARIA LOPES CATAO (DISCENTE - Colaborador), CAROLINE MOREIRA BERGAMINI (DISCENTE - Colaborador), DANILLO LOPES (DISCENTE - Colaborador), EDUARDO KESLEY ARAUJO PINTO (DISCENTE - Colaborador), FERNANDA DE SIQUEIRA (SERVIDOR - Colaborador), JUSCELINO RODRIGUES FILHO (DISCENTE - Colaborador), RENAN NUNES LELES (DOCENTE - Colaborador), RICHARD ALAN HUMBER (EXTERNO - Colaborador), TATIANA CAROLINE DIAS PEREIRA (DISCENTE - Colaborador), VALERIA DE OLIVEIRA (DOCENTE - Colaborador), VITORIA CARDOSO CAMPOS (DISCENTE - Colaborador), WALQUIRIA ARRUDA (DOCENTE - Colaborador), WOLF CHRISTIAN LUZ (DOCENTE - Coordenador);01/09/2016 a 31/12/2019
PI0310-2016;ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL;VIBRAÇÕES E INSTABILIDADE DE SISTEMAS CONTÍNUOS E DISCRETOS  INTERAÇÃO FLUIDO-ESTRUTURA, MATERIAIS ELÁSTICOS E VISCOELÁSTICOS;Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas;Com Programa de Pós-graduação da UFG;sim;ANA LARISSA DAL PIVA ARGENTA (DOCENTE - Colaborador), BRUNO CARNEIRO LUDOVICO DE PAULA (DISCENTE - Colaborador), FREDERICO MARTINS ALVES DA SILVA (DOCENTE - Colaborador), IGOR CEZAR SILVA BRAGA (DISCENTE - Colaborador), LEYSER PACHECO PIRES FILHO (DISCENTE - Colaborador), MATHEUS OVÍDIO SIQUEIRA (DISCENTE - Colaborador), ORLANDO MUNDOCO CORRÊA (DISCENTE - Colaborador), PAULO BATISTA GONCALVES (EXTERNO - Colaborador), RENATA MACHADO SOARES (DOCENTE - Colaborador), ZENON JOSE GUZMAN DEL PRADO (DOCENTE - Coordenador);17/02/2016 a 01/03/2019
PI01601-2016;UNIVERSIDADE FEDERAL DE GOIÁS;CONTRIBUIÇÃO AOS ESTUDOS  E  À DIVULGAÇÃO  DA FLORA DE GOIÁS E DO BRASIL ;Ciências Biológicas - Botânica - Taxonomia Vegetal;Com Programa de Pós-Graduação de Outra IES;sim;CHRISTIANO PERES COELHO (EXTERNO - Colaborador), EDSON SILVA RIBEIRO (DISCENTE - Colaborador), ERICA VIRGINIA ESTEFANE DE JESUS AMARAL (SERVIDOR - Vice-coodernador), FREDERICO AUGUSTO GUIMARAES GUILHERME (DOCENTE - Colaborador), LUZIA FRANCISCA DE SOUZA (EXTERNO - Coordenador);01/01/2016 a 31/12/2020
PI02859-2016;PROGRAMA DE PÓS-GRADUAÇÃO EM MEDICINA TROPICAL E SAÚDE PÚBLICA;PORTADORES NA NASOFARINGE DE STREPTOCOCCUS PNEUMONIAE, HAEMOPHILUS INFLUENZAE E STAPHYLOCOCCUS AUREUS EM PACIENTES IDOSOS AMBULATORIAIS NO BRASIL.;Ciências da Saúde - Saúde Coletiva - Epidemiologia;Com Programa de Pós-graduação da UFG;sim;ANA LUCIA SAMPAIO SGAMBATTI DE ANDRADE (EXTERNO - Coordenador);04/07/2016 a 31/12/2019
PI02860-2016;PROGRAMA DE PÓS-GRADUAÇÃO EM MEDICINA TROPICAL E SAÚDE PÚBLICA;Sorotipos de S. pneumoniae na colonização da nasofaringe de crianças vacinadas do município de São Paulo após sete anos da introdução da vacina pneumocócica 10-valente (PCV-10) em rotina de imunização;Ciências da Saúde - Saúde Coletiva - Epidemiologia, Ciências da Saúde - Saúde Coletiva - Saúde Pública;Com Programa de Pós-graduação da UFG;sim;ANA LUCIA SAMPAIO SGAMBATTI DE ANDRADE (EXTERNO - Coordenador);01/11/2016 a 31/12/2019
PI03324-2016;PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA;MARXISMO, DEMOCRACIA E O MUNDO DO TRABALHO:  ESTUDOS A PARTIR DAS CRÍTICAS DE ARENDT E CASTORIADIS  ;Ciências Humanas - Filosofia - Ética;Com Programa de Pós-graduação da UFG;sim;JULIA LEMOS VIEIRA (EXTERNO - Coordenador);07/03/2019 a 01/08/2020
PI0916-2015;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;POLÍTICAS PÚBLICAS DE DESENVOLVIMENTO RURAL EM GOIÁS: UMA ANÁLISE DO PAA E DO PNPB;Ciências Humanas - Geografia - Geografia Humana - Geografia Agrária;Com Programa de Pós-graduação da UFG;sim;ADRIANO RODRIGUES DE OLIVEIRA (DOCENTE - Coordenador), AGUSTIN AVILA ROMERO (DOCENTE - Colaborador), ANA FLÁVIA SOARES CARNEIRO (DISCENTE - Colaborador), ÂNGELA MARIA MARTINS PEIXOTO (EXTERNO - Colaborador), AUGUSTO CESAR IJANC (DISCENTE - Colaborador), DINALVA DONIZETE RIBEIRO (DOCENTE - Colaborador), EVANDRO CESAR CLEMENTE (DOCENTE - Colaborador), GABRIEL DA COSTA CABRAL (DISCENTE - Colaborador), HELEM SILVA DE OLIVEIRA (DISCENTE - Colaborador), JADSON ALBUQUERQUE DOS SANTOS (DISCENTE - Colaborador), JESSYCA TOMAZ DE CARVALHO (DISCENTE - Colaborador), KARINNE DE PINA SILVA (EXTERNO - Colaborador), LARA CRISTINE GOMES FERREIRA (SERVIDOR - Colaborador), LUDIMILA LELIS ATAIDES (DISCENTE - Colaborador), MARCELO RODRIGUES MENDONCA (DOCENTE - Vice-coodernador), RONAN EUSTAQUIO BORGES (DOCENTE - Colaborador), THARLEY HENRIQUE GONZAGA AGUIAR (DISCENTE - Colaborador);13/02/2015 a 31/12/2020
PI01094-2015;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;Territórios e espacialidades étnico-raciais urbanas: grupos negros, quilombolas, indígenas e ciganos na  Região Metropolitana de Goiânia.;Ciências Humanas - Geografia - Geografia Humana;Com Programa de Pós-graduação da UFG;sim;ALECSANDRO JOSE PRUDENCIO RATTS (DOCENTE - Coordenador), ALESSANDRA BARREIRO DA SILVA (EXTERNO - Colaborador), ANA MARIA MARTINS QUEIROZ (DISCENTE - Colaborador), DANILO CARDOSO PEREIRA DE AZEVEDO (DISCENTE - Colaborador), DAVID JUNIOR DE SOUZA SILVA (DISCENTE - Colaborador), IGOR FERNANDES DE ALENCAR (DISCENTE - Colaborador), JOSE RODRIGUES DE CARVALHO (DISCENTE - Colaborador), KENIA GONCALVES COSTA (EXTERNO - Colaborador), LORENA FRANCISCO DE SOUZA (EXTERNO - Colaborador), LUCAS ALMEIDA SOUSA (DISCENTE - Colaborador), LUCIANA PEREIRA DE SOUSA (DISCENTE - Colaborador), MARIZA FERNANDES DOS SANTOS (DISCENTE - Colaborador), MICHELE ANDRADE DA SILVA (DISCENTE - Colaborador), ODETE DE ARAÚJO COSTA (DISCENTE - Colaborador), RUAN PINHEIRO DO NASCIMENTO FARIA (DISCENTE - Colaborador), RÚBIA ELZA MARTINS DE SOUSA (DISCENTE - Colaborador), TALITA CABRAL MACHADO (DISCENTE - Colaborador), VINICIUS GOMES DE AGUIAR (DOCENTE - Vice-coodernador), WILKER LOPES VIEIRA (EXTERNO - Colaborador);05/01/2015 a 31/08/2021
PV0626-2015;INSTITUTO DE CIENCIAS BIOLOGICAS;Avaliação da Função Cardíaca de Ratos Submetidos ao Modelo do Abrasamento Elétrico da Amígdala;Ciências Biológicas - Fisiologia;Com Programa de Pós-graduação da UFG;sim;ALINE PRISCILA PANSANI (DOCENTE - Coordenador), CARLOS HENRIQUE DE CASTRO (DOCENTE - Colaborador), CARLOS HENRIQUE XAVIER CUSTODIO (DOCENTE - Colaborador), DIEGO BASILE COLUGNATI (DOCENTE - Colaborador), EMILLY GOMES DOS SANTOS (DISCENTE - Colaborador), FERNANDA CRISTINA ALCANTARA DOS SANTOS (DOCENTE - Colaborador), KARINA PEREIRA GOMES (EXTERNO - Colaborador), KISCILLA DOS SANTOS BORGES (DISCENTE - Colaborador), MARCOS AURELIANO ARAUJO SILVA (DISCENTE - Colaborador), PAULO CESAR GHEDINI (DOCENTE - Colaborador), POLIANA PERES GHAZALÉ (EXTERNO - Colaborador);30/04/2015 a 31/12/2019
PI01093-2015;INSTITUTO DE CIENCIAS BIOLOGICAS;EFEITO DO CICLO VIGÍLIA-SONO SOBRE AS RESPOSTAS CARDIOVASCULARES NAS CRISES EPILÉPTICAS INDUZIDAS PELO MODELO DO ABRASAMENTO ELÉTRICO DA AMÍGDALA;Ciências Biológicas - Fisiologia;Com Programa de Pós-graduação da UFG;sim;ALINE PRISCILA PANSANI (DOCENTE - Coordenador), CARLOS HENRIQUE DE CASTRO (DOCENTE - Colaborador), CARLOS HENRIQUE XAVIER CUSTODIO (DOCENTE - Colaborador), DIEGO BASILE COLUGNATI (DOCENTE - Colaborador), KARINA PEREIRA GOMES (DISCENTE - Colaborador), PAULO CESAR GHEDINI (DOCENTE - Colaborador), POLIANA PERES GHAZALÉ (EXTERNO - Colaborador), RENATA MAZARO (DOCENTE - Colaborador);30/04/2015 a 30/04/2018
PI0438-2015;INSTITUTO DE CIENCIAS BIOLOGICAS;ESTUDO DA DINÂMICA DA FREQUÊNCIA CARDÍACA A PARTIR DO TESTE CARDIOPULMONAR DE ESFORÇO EM PACIENTES COM SÍNDROME METABÓLICA: ESTUDO RANDOMIZADO;Ciências Biológicas - Fisiologia - Fisiologia do Esforço, Ciências da Saúde - Medicina - Clínica Médica - Cardiologia;Com Programa de Pós-graduação da UFG;sim;ANA CRISTINA SILVA REBELO (DOCENTE - Coordenador), CAMILA GRASIELE ARAUJO DE OLIVEIRA (DISCENTE - Colaborador), JOÃO BATISTA RODRIGUES DUTRA (DISCENTE - Colaborador), JORDANA CAMPOS MARTINS DE OLIVEIRA (DISCENTE - Colaborador), KARINA SIMOES (DOCENTE - Colaborador), LUCAS RAPHAEL BENTO E SILVA (DISCENTE - Colaborador), MARIA SEBASTIANA SILVA (DOCENTE - Vice-coodernador), PAULO ROBERTO VIANA GENTIL (DOCENTE - Colaborador);05/05/2015 a 31/12/2019
PI02800-2015;INSTITUTO DE QUIMICA;Investiga Menina! ;Ciências Exatas e da Terra - Química, Ciências Humanas - Educação - Tópicos Específicos de Educação;Com Programa de Pós-graduação da UFG;sim;ALINY GOMES SILVA (DISCENTE - Colaborador), ANADIR CEZARIA (EXTERNO - Colaborador), ANNA MARIA CANAVARRO BENITE (DOCENTE - Coordenador), ANTONIO CESAR BATISTA ALVINO (DISCENTE - Colaborador), ARCANJO RODRIGUES DE MOURA (DISCENTE - Colaborador), CLAUDIO ROBERTO MACHADO BENITE (DOCENTE - Vice-coodernador), DANIEL DE ARAUJO (DISCENTE - Colaborador), DEUZILIA PEREIRA DA CRUZ (EXTERNO - Colaborador), ELIETE LUCIA SILVA (DISCENTE - Colaborador), FERNANDA SILVA FERNANDES (DISCENTE - Colaborador), GEISA LOUISE MARIZ LIMA (DISCENTE - Colaborador), GUSTAVO AUGUSTO ASSIS FAUSTINO (DISCENTE - Colaborador), JUVAN PEREIRA DA SILVA (DISCENTE - Colaborador), LALESCA ADALGISA DE OLIVEIRA (DISCENTE - Colaborador), LORRANNE DE SOUZA ANDRADE (DISCENTE - Colaborador), LUDWALER RODRIGUES SILVA (EXTERNO - Colaborador), MARILENE BARCELOS MOREIRA (DISCENTE - Colaborador), MARTA CEZARIA DE OLIVEIRA (EXTERNO - Colaborador), MARYSSON JONAS RODRIGUES CAMARGO (DISCENTE - Colaborador), MORGANA ABRANCHES BASTOS (DISCENTE - Colaborador), REGINA NOBRE VARGAS (DISCENTE - Colaborador);01/01/2015 a 31/12/2020
PV01631-2015;UAE - DE ENGENHARIA - CATALÃO;Comparação das diferentes metodologias de determinação do índice de qualidade da água;Engenharias - Engenharia Sanitária - Saneamento Ambiental - Qualidade do Ar, das Águas e do Solo;Com Grupo de Pesquisa;sim;ALYNNE LARA DE SOUZA (DISCENTE - Colaborador), ANTOVER PANAZZOLO SARMENTO (DOCENTE - Coordenador), CAIQUE LOPES DE MEDEIROS (DISCENTE - Colaborador), DAIANA RIBAS MACHADO (DISCENTE - Colaborador), DANIELA MUNDIM SILVA (DISCENTE - Colaborador), MARIA RITA DE CASSIA SANTOS (DOCENTE - Vice-coodernador), WANUCY BARROSO RODRIGUES (DISCENTE - Colaborador);01/01/2015 a 30/03/2018
PI0609-2015;INSTITUTO DE QUIMICA;Imageamento químico de orgânicos em superfícies sólidas por  espectrometria de massas ambiente;Ciências Exatas e da Terra - Química - Química Analítica - Instrumentação Analítica;Sem Vínculo (Projeto Isolado);sim;BONIEK GONTIJO VAZ (DOCENTE - Coordenador);08/10/2015 a 07/08/2019
PI0825-2015;INSTITUTO DE QUIMICA;Imageamento químico de orgânicos em superfícies sólidas por  espectrometria de massas ambiente;Ciências Exatas e da Terra - Química - Química Analítica - Instrumentação Analítica;Sem Vínculo (Projeto Isolado);sim;BONIEK GONTIJO VAZ (DOCENTE - Coordenador);08/10/2015 a 07/09/2018
PI0943-2015;ESCOLA DE AGRONOMIA;PROGRAMA DE MELHORAMENTO GENÉTICO DA CANA-DE-AÇÚCAR PARA O CERRADO (PROJETO COM FINANCEAMENTO APROVADO PELO SETRO SUCROENÉRGETICO DE GOIÁS);Ciências Agrárias - Agronomia - Fitotecnia - Melhoramento Vegetal;Tipo de vínculo desconhecido;sim;ALEXANDRE SIQUEIRA GUEDES COELHO (DOCENTE - Colaborador), BRUNA MENDES DE OLIVEIRA (DOCENTE - Coordenador), EDWARD MADUREIRA BRASIL (DOCENTE - Vice-coodernador), JOAO BATISTA DUARTE (DOCENTE - Colaborador), KLEIBE BERTONI CARDOSO LEMES (DISCENTE - Colaborador), LUÍS GABRIEL SILVA ALVARENGA (DISCENTE - Colaborador), ODILON PEIXOTO DE MORAIS JÚNIOR (EXTERNO - Colaborador), PAULO ROBERTO FARIA (SERVIDOR - Colaborador), SERGIO TADEU SIBOV (DOCENTE - Colaborador);01/06/2015 a 31/12/2025
PI03350-2015;INSTITUTO DE CIENCIAS BIOLOGICAS;CONTRIBUIÇÃO DAS DIFERENTES SINAPSES DO HIPOTÁLAMO PARAVENTRICULAR PARA O CONTROLE DA FUNÇÃO CARDÍACA;Ciências Biológicas - Fisiologia - Fisiologia de Órgãos e Sistemas;Tipo de vínculo desconhecido;sim;CARLOS HENRIQUE XAVIER CUSTODIO (DOCENTE - Coordenador), DIEGO BASILE COLUGNATI (DOCENTE - Colaborador), GUSTAVO RODRIGUES PEDRINO (DOCENTE - Colaborador), MICHELLE MENDANHA MENDONÇA (DISCENTE - Colaborador);03/03/2015 a 05/10/2020
